"Parameter","coord","covariate","p2.5","p25","p50","mean","p75","p97.5"
"Lambda","clr_ASV_134","AR_d1",-0.671117345372405,-0.0595625662755497,0.230704713102882,0.238446350225951,0.545565984481737,1.11746888594611
"Lambda","clr_ASV_134","AR_d2",-1.68938151577285,-1.06179023432817,-0.756782168347542,-0.761051947949119,-0.438334145124921,0.140513084903914
"Lambda","clr_ASV_134","AR_e1",-1.84493108743898,-1.36577188394428,-1.07682095538238,-1.07593173977711,-0.789374403846456,-0.300589711284546
"Lambda","clr_ASV_134","AR_e2",-1.64856215885737,-1.08685893652349,-0.799315213591646,-0.807651838107026,-0.52241818944377,0.0155529637283718
"Lambda","clr_ASV_14","AR_d1",-1.58367311710686,-0.926903870239947,-0.594467025198867,-0.600413054846041,-0.277471557239379,0.327960770406364
"Lambda","clr_ASV_14","AR_d2",-0.360611438243292,0.271345298454692,0.585821315136539,0.585170663857989,0.897163357891946,1.55617697060746
"Lambda","clr_ASV_14","AR_e1",-0.124481684325682,0.38181453410255,0.642029914532582,0.645804825821657,0.902352193514206,1.40088162635277
"Lambda","clr_ASV_14","AR_e2",-0.0437408982041803,0.485628401969255,0.75492647424673,0.750331950529384,1.0260696053007,1.56271195125857
"Lambda","clr_ASV_15","AR_d1",-0.426284011497171,-0.0116660294093311,0.223957718449294,0.226375472114028,0.454273529169804,0.891589987149938
"Lambda","clr_ASV_15","AR_d2",-0.958159941244582,-0.518824781147959,-0.293008180811152,-0.298248888055863,-0.0780897827413597,0.327460822609812
"Lambda","clr_ASV_15","AR_e1",-1.15731889084156,-0.818147937389229,-0.629214634819317,-0.631503622948246,-0.454754757175618,-0.0985860711425077
"Lambda","clr_ASV_15","AR_e2",-0.897058308036524,-0.557608220294873,-0.369767743023106,-0.370263490878468,-0.190374501560438,0.166686365655531
"Lambda","clr_ASV_16","AR_d1",-0.479884202338201,-0.0470289573877837,0.153571398382437,0.16063478237238,0.378400240319831,0.808474065676659
"Lambda","clr_ASV_16","AR_d2",-0.828766759014734,-0.403223838496356,-0.200096747662246,-0.194992235520193,0.0173352209632068,0.436512933606951
"Lambda","clr_ASV_16","AR_e1",-1.27145679350245,-0.934100560520557,-0.770385494618178,-0.772545125536331,-0.604374290050218,-0.270623664994162
"Lambda","clr_ASV_16","AR_e2",-0.93198261759536,-0.608546094638588,-0.43378929600569,-0.427217433951289,-0.245381126679473,0.106267577496535
"Lambda","clr_ASV_17","AR_d1",-1.03256291975755,-0.526460190880416,-0.246776326113104,-0.249103984550509,0.0349349024280091,0.509234068071893
"Lambda","clr_ASV_17","AR_d2",-1.55439092920731,-1.03852738618696,-0.773450640314095,-0.787493587911384,-0.525550031406778,-0.0633970925511606
"Lambda","clr_ASV_17","AR_e1",-2.04280996235077,-1.62267174590709,-1.41643762229522,-1.41206304722372,-1.19989148496118,-0.792864231679351
"Lambda","clr_ASV_17","AR_e2",-1.88327207559358,-1.45522279978977,-1.24793491393721,-1.24497659430228,-1.03124920334725,-0.63750097978658
"Lambda","clr_ASV_18","AR_d1",-1.56254011998836,-0.765153307167751,-0.399936102435684,-0.405567912566862,-0.0521225891676996,0.710920339249292
"Lambda","clr_ASV_18","AR_d2",-1.40815021901378,-0.698878016260601,-0.340773333881141,-0.330592422012255,0.0273685126976757,0.80876794054779
"Lambda","clr_ASV_18","AR_e1",-1.35677969433799,-0.794944133130183,-0.488746067416239,-0.488626956155762,-0.180108440574445,0.38421209927346
"Lambda","clr_ASV_18","AR_e2",-1.26516790006665,-0.694756909470388,-0.377166447839888,-0.36790805678662,-0.0614259033214222,0.522979100188881
"Lambda","clr_ASV_19","AR_d1",-0.370698171990813,0.138633231099543,0.38219180539381,0.376116479075631,0.633404721091649,1.10347781487139
"Lambda","clr_ASV_19","AR_d2",-0.759077196809976,-0.286949883020132,-0.0429419059656459,-0.0464332960584587,0.199582323788592,0.66334735863376
"Lambda","clr_ASV_19","AR_e1",-0.222711794393626,0.171646789672221,0.365028103056005,0.360186371010395,0.549283550817894,0.932342915466121
"Lambda","clr_ASV_19","AR_e2",-0.554041881515841,-0.168322277354461,0.0381165534902418,0.0412691276195849,0.259876177521716,0.654033011449179
