"Rx1","rep","DP","conc"
"gos",1,"DP 47",0.0424506055220178
"gos",2,"DP 47",0.0456159509065065
"gos",3,"DP 47",0.0451235975093131
"dex",1,"DP 47",0.0543264398176305
"dex",2,"DP 47",0.0422693882745544
"dex",3,"DP 47",0.0411469332007973
"con",1,"DP 77",-0.0661023175289296
"con",2,"DP 77",-0.0661023175289296
"con",3,"DP 77",-0.0661023175289296
"in",1,"DP 77",-0.0661023175289296
"in",2,"DP 77",-0.0661023175289296
"in",3,"DP 77",-0.0661023175289296
"gos",1,"DP 77",-0.0661023175289296
"gos",2,"DP 77",-0.0661023175289296
"gos",3,"DP 77",-0.0661023175289296
"dex",1,"DP 77",-0.0661023175289296
"dex",2,"DP 77",-0.0661023175289296
"dex",3,"DP 77",-0.0661023175289296
"con",1,"DP 80",-0.0427847378731671
"con",2,"DP 80",-0.0427847378731671
"con",3,"DP 80",-0.0427847378731671
"in",1,"DP 80",-0.0427847378731671
"in",2,"DP 80",-0.0427847378731671
"in",3,"DP 80",0.00716636733637899
"gos",1,"DP 80",-0.0427847378731671
"gos",2,"DP 80",-0.0427847378731671
"gos",3,"DP 80",-0.0427847378731671
"dex",1,"DP 80",-0.0427847378731671
"dex",2,"DP 80",-0.0427847378731671
"dex",3,"DP 80",-0.0427847378731671
"con",1,"DP 34",0.162793851879878
"con",2,"DP 34",0.140170732427262
"con",3,"DP 34",0.139941449239429
"in",1,"DP 34",0.0898575439798182
"in",2,"DP 34",0.0868799794883727
"in",3,"DP 34",0.132205371170716
"gos",1,"DP 34",0.148510172282453
"gos",2,"DP 34",0.161851829620552
"gos",3,"DP 34",0.140682624655126
"dex",1,"DP 34",0.160006414749157
"dex",2,"DP 34",0.139824627693982
"dex",3,"DP 34",0.137524607062318
"con",1,"DP 42",0.103362176827909
"con",2,"DP 42",0.088553737091111
"con",3,"DP 42",0.0878817856365333
"in",1,"DP 42",0.0737669872405579
"in",2,"DP 42",0.0734177316898224
"in",3,"DP 42",0.0650527514326508
"gos",1,"DP 42",0.0906190235733958
"gos",2,"DP 42",0.0783220934133731
"gos",3,"DP 42",0.0994649554725092
"dex",1,"DP 42",0.0942986856784722
"dex",2,"DP 42",0.089967070046977
"dex",3,"DP 42",0.0896755926326998
"con",1,"DP 76",-0.0230238296361975
"con",2,"DP 76",-0.0230238296361975
"con",3,"DP 76",-0.0230238296361975
"in",1,"DP 76",0.121924397317053
"in",2,"DP 76",0.117126792631416
"in",3,"DP 76",-0.0230238296361975
"gos",1,"DP 76",0.067386473681523
"gos",2,"DP 76",-0.0230238296361975
"gos",3,"DP 76",-0.0230238296361975
"dex",1,"DP 76",-0.0230238296361975
"dex",2,"DP 76",-0.0230238296361975
"dex",3,"DP 76",-0.0230238296361975
"con",1,"DP 79",-0.0189533879528308
"con",2,"DP 79",-0.0189533879528308
"con",3,"DP 79",-0.0189533879528308
"in",1,"DP 79",0.0846144891574288
"in",2,"DP 79",0.0841322295789722
"in",3,"DP 79",-0.0189533879528308
"gos",1,"DP 79",0.0542456277035607
"gos",2,"DP 79",-0.0189533879528308
"gos",3,"DP 79",-0.0189533879528308
"dex",1,"DP 79",0.0238629539788892
"dex",2,"DP 79",0.02179138898586
"dex",3,"DP 79",0.0223201826878042
"con",1,"kestose",-0.121173524866589
"con",2,"kestose",-0.121173524866589
"con",3,"kestose",-0.121173524866589
"in",1,"kestose",-0.121173524866589
"in",2,"kestose",0.275880516440137
"in",3,"kestose",-0.121173524866589
"gos",1,"kestose",-0.121173524866589
"gos",2,"kestose",-0.121173524866589
"gos",3,"kestose",-0.121173524866589
"dex",1,"kestose",-0.121173524866589
"dex",2,"kestose",-0.121173524866589
"dex",3,"kestose",-0.121173524866589
"con",1,"DP 29",0.240840546528416
"con",2,"DP 29",0.248598025546931
"con",3,"DP 29",0.246402304745514
"in",1,"DP 29",0.128348736497703
"in",2,"DP 29",0.124997217070274
"in",3,"DP 29",0.1796849796066
"gos",1,"DP 29",0.201809816890161
"gos",2,"DP 29",0.214828839246835
"gos",3,"DP 29",0.199876887249454
"dex",1,"DP 29",0.219157869754733
"dex",2,"DP 29",0.205351312419348
"dex",3,"DP 29",0.203090043171331
"con",1,"GF3",0.449378441613785
"con",2,"GF3",0
"con",3,"GF3",0
"in",1,"GF3",0.437337539886847
"in",2,"GF3",0.484957060411132
"in",3,"GF3",0
"gos",1,"GF3",0
"gos",2,"GF3",0
"gos",3,"GF3",0
"dex",1,"GF3",0
"dex",2,"GF3",0
"dex",3,"GF3",0
"con",1,"DP 75",0.336977413658732
"con",2,"DP 75",0
"con",3,"DP 75",0
"in",1,"DP 75",0
"in",2,"DP 75",0
"in",3,"DP 75",0
"gos",1,"DP 75",0
"gos",2,"DP 75",0
"gos",3,"DP 75",0
"dex",1,"DP 75",0
"dex",2,"DP 75",0
"dex",3,"DP 75",0
"con",1,"DP 16",0.316986335860869
"con",2,"DP 16",0.322811280469702
"con",3,"DP 16",0.322291180504284
"in",1,"DP 16",0.214390591343256
"in",2,"DP 16",0.210875555595247
"in",3,"DP 16",0.265535391740977
