expt,treatment1,treatment2,rep,DP,conc,DPn,bin
cilantro,0.1,100,3,DP 16,-0.064238243,16,inulin
cilantro,1,100,1,DP 16,-0.035014697,16,inulin
cilantro,1,100,3,DP 16,-0.022975254,16,inulin
cilantro,10,100,2,DP 16,-0.066381548,16,inulin
cilantro,10,100,3,DP 16,-0.085604533,16,inulin
cilantro,25,100,1,DP 16,0.020010296,16,inulin
cilantro,25,100,3,DP 16,0.032214583,16,inulin
cilantro,50,100,2,DP 16,0.011730527,16,inulin
cilantro,50,100,3,DP 16,0.008986446,16,inulin
cilantro,100,100,1,DP 16,-0.006699837,16,inulin
cilantro,100,100,2,DP 16,-0.015235167,16,inulin
cilantro,0,0,2,DP 17,0.002982469,17,inulin
cilantro,0,0,3,DP 17,-0.002982469,17,inulin
cilantro,0,100,1,DP 17,0.12482378,17,inulin
cilantro,0,100,3,DP 17,0.114566814,17,inulin
cilantro,0.1,100,1,DP 17,0.099625694,17,inulin
cilantro,0.1,100,3,DP 17,0.090596351,17,inulin
cilantro,1,100,1,DP 17,0.08567553,17,inulin
cilantro,1,100,3,DP 17,0.090402806,17,inulin
cilantro,10,100,2,DP 17,0.01939323,17,inulin
cilantro,10,100,3,DP 17,0.024518858,17,inulin
cilantro,25,100,1,DP 17,-0.002982469,17,inulin
cilantro,25,100,3,DP 17,-0.002982469,17,inulin
cilantro,50,100,2,DP 17,-0.002982469,17,inulin
cilantro,50,100,3,DP 17,-0.002982469,17,inulin
cilantro,100,100,1,DP 17,0.01773643,17,inulin
cilantro,100,100,2,DP 17,-0.002982469,17,inulin
cilantro,0,0,2,DP 21,-0.000631529,21,inulin
cilantro,0,0,3,DP 21,0.000631529,21,inulin
cilantro,0,100,1,DP 21,0.080907258,21,inulin
cilantro,0,100,3,DP 21,0.069986849,21,inulin
cilantro,0.1,100,1,DP 21,0.100219144,21,inulin
cilantro,0.1,100,3,DP 21,0.057998858,21,inulin
cilantro,1,100,1,DP 21,0.085502417,21,inulin
cilantro,1,100,3,DP 21,0.083962092,21,inulin
cilantro,10,100,2,DP 21,0.002865665,21,inulin
cilantro,10,100,3,DP 21,0.02832121,21,inulin
cilantro,25,100,1,DP 21,0.009040514,21,inulin
cilantro,25,100,3,DP 21,0.009085194,21,inulin
cilantro,50,100,2,DP 21,0.007533364,21,inulin
cilantro,50,100,3,DP 21,0.00684986,21,inulin
cilantro,100,100,1,DP 21,0.007005849,21,inulin
cilantro,100,100,2,DP 21,0.006568182,21,inulin
cilantro,0,0,2,DP 22,-0.001439453,22,inulin
cilantro,0,0,3,DP 22,0.001439453,22,inulin
cilantro,0,100,1,DP 22,0.132140532,22,inulin
cilantro,0,100,3,DP 22,0.143076913,22,inulin
cilantro,0.1,100,1,DP 22,0.123255788,22,inulin
cilantro,0.1,100,3,DP 22,0.126244386,22,inulin
cilantro,1,100,1,DP 22,0.107765373,22,inulin
cilantro,1,100,3,DP 22,0.073106708,22,inulin
cilantro,10,100,2,DP 22,-0.012513774,22,inulin
cilantro,10,100,3,DP 22,0.023191579,22,inulin
cilantro,25,100,1,DP 22,-0.001828217,22,inulin
cilantro,25,100,3,DP 22,-0.002174206,22,inulin
cilantro,50,100,2,DP 22,0.017236162,22,inulin
cilantro,50,100,3,DP 22,0.017453767,22,inulin
cilantro,100,100,1,DP 22,0.002836017,22,inulin
cilantro,100,100,2,DP 22,0.018107039,22,inulin
cilantro,0,0,2,DP 25,-0.000734752,25,inulin
cilantro,0,0,3,DP 25,0.000734752,25,inulin
cilantro,0,100,1,DP 25,0.054865678,25,inulin
cilantro,0,100,3,DP 25,0.046604164,25,inulin
cilantro,0.1,100,1,DP 25,0.04756929,25,inulin
cilantro,0.1,100,3,DP 25,0.032367821,25,inulin
cilantro,1,100,1,DP 25,0.029046645,25,inulin
cilantro,1,100,3,DP 25,0.033763139,25,inulin
cilantro,10,100,2,DP 25,-0.011993385,25,inulin
cilantro,10,100,3,DP 25,0.008153985,25,inulin
cilantro,25,100,1,DP 25,0.009029439,25,inulin
cilantro,25,100,3,DP 25,0.011224811,25,inulin
cilantro,50,100,2,DP 25,0.005472808,25,inulin
cilantro,50,100,3,DP 25,0.003964441,25,inulin
cilantro,100,100,1,DP 25,-0.00727329,25,inulin
cilantro,100,100,2,DP 25,-0.009327754,25,inulin
cilantro,0,0,2,DP 29,-4.38E-05,29,inulin
cilantro,0,0,3,DP 29,4.38E-05,29,inulin
cilantro,0,100,1,DP 29,0.092222761,29,inulin
cilantro,0,100,3,DP 29,0.087150937,29,inulin
cilantro,0.1,100,1,DP 29,0.093128531,29,inulin
cilantro,0.1,100,3,DP 29,0.076254047,29,inulin
