"doses","amt","rep","DP","conc"
"1","1:04","1","DP 43",0.037911766173074
"1","1:04","2","DP 43",0.0446068496249131
"1","1:04","3","DP 43",0.0362843510519621
"2","1:04","1","DP 43",0.0154331628668492
"2","1:04","2","DP 43",0.0354941054813922
"2","1:04","3","DP 43",0.0244982354838472
"2","norm","1","DP 43",0.0345451221044216
"2","norm","2","DP 43",0.0355860536398284
"2","norm","3","DP 43",0.0324279898311207
"1","2x","1","DP 43",0.0292960630084828
"1","2x","2","DP 43",0.0350360120534818
"1","2x","3","DP 43",0.0312848105350103
"1","1:04","1","DP 44",0.0160450575056572
"1","1:04","2","DP 44",0.0243285883756982
"1","1:04","3","DP 44",0.023700176852739
"2","1:04","1","DP 44",-0.0154004715043858
"2","1:04","2","DP 44",0.0158841123851226
"2","1:04","3","DP 44",0.00672296269715855
"2","norm","1","DP 44",0.0158052524909697
"2","norm","2","DP 44",0.0162277921701856
"2","norm","3","DP 44",0.0138731623580659
"1","2x","1","DP 44",0.00822765052282534
"1","2x","2","DP 44",0.014860186567968
"1","2x","3","DP 44",0.013090584079721
"1","1:04","1","DP 45",0.027748505465815
"1","1:04","2","DP 45",0.0430667049253244
"1","1:04","3","DP 45",0.0308293095103046
"2","1:04","1","DP 45",0
"2","1:04","2","DP 45",0.0386622180797997
"2","1:04","3","DP 45",0.0290071835975492
"2","norm","1","DP 45",0.0389866346010549
"2","norm","2","DP 45",0.0382312663005076
"2","norm","3","DP 45",0.0356033816362618
"1","2x","1","DP 45",0.0212393321093273
"1","2x","2","DP 45",0.0346272807933763
"1","2x","3","DP 45",0.0328624412431192
"1","1:04","1","DP 46",0.0253241951620092
"1","1:04","2","DP 46",0.0341460262204053
"1","1:04","3","DP 46",0.02738016224413
"2","1:04","1","DP 46",0
"2","1:04","2","DP 46",0.0259563988226707
"2","1:04","3","DP 46",0.0173350862272763
"2","norm","1","DP 46",0.0261181576680531
"2","norm","2","DP 46",0.0258783242146861
"2","norm","3","DP 46",0.0239559257385464
"1","2x","1","DP 46",0.0193676528336695
"1","2x","2","DP 46",0.0275121389467112
"1","2x","3","DP 46",0.0249685362907228
"1","1:04","1","DP 47",0.0235232986201785
"1","1:04","2","DP 47",0.0281445993438271
"1","1:04","3","DP 47",0.0235707095748104
"2","1:04","1","DP 47",0
"2","1:04","2","DP 47",0.0200557227982743
"2","1:04","3","DP 47",0.0122290226530237
"2","norm","1","DP 47",0.0207427452937426
"2","norm","2","DP 47",0.0197069367819105
"2","norm","3","DP 47",0.0189040967031175
"1","2x","1","DP 47",0.0184098216939196
"1","2x","2","DP 47",0.0217075850707065
"1","2x","3","DP 47",0.0205218364614193
"1","1:04","1","DP 48",0.0210622082762018
"1","1:04","2","DP 48",0.0229269742595345
"1","1:04","3","DP 48",0.0221383658618813
"2","1:04","1","DP 48",-0.00127158782059066
"2","1:04","2","DP 48",0.0152335100129434
"2","1:04","3","DP 48",0.00829753478284894
"2","norm","1","DP 48",0.0163404563876649
"2","norm","2","DP 48",0.0149695850656063
"2","norm","3","DP 48",0.0144880461129563
"1","2x","1","DP 48",0.0169137287463486
"1","2x","2","DP 48",0.0175882045524345
"1","2x","3","DP 48",0.0169501162883474
"1","1:04","1","DP 49",0.0178767058328523
"1","1:04","2","DP 49",0.0209435677227658
"1","1:04","3","DP 49",0.0197634750215386
"2","1:04","1","DP 49",0
"2","1:04","2","DP 49",0.0158940218906727
"2","1:04","3","DP 49",0.00926348356717347
"2","norm","1","DP 49",0.0192814702332523
"2","norm","2","DP 49",0.0168724938942671
"2","norm","3","DP 49",0.0154140848009063
"1","2x","1","DP 49",0.0144663042569418
"1","2x","2","DP 49",0.0158764649095777
"1","2x","3","DP 49",0.0162101834730606
"1","1:04","1","DP 50",0.0161842894865703
"1","1:04","2","DP 50",0.0212877833414567
"1","1:04","3","DP 50",0.017766629476196
