"","pre.treatment","rep","conc"
"526","control",1,0.0563038261479215
"527","control",2,0.0590407438498588
"528","control",3,0.0758076136267431
"529","Sigma Dahlia",1,0.0313385045812724
"530","Sigma Dahlia",2,0.01987504828923
"531","Sigma Dahlia",3,0.0223448465413138
"532","NOW",1,0.0452298829331316
"533","NOW",2,0.0520415805912556
"534","NOW",3,0.0492413546732577
"535","Sigma Chicory",1,0.0406567155068448
"536","Sigma Chicory",2,0.0460030300746527
"537","Sigma Chicory",3,0.0347429989102878
"538","fructose",1,0.0846969116445567
"539","fructose",2,0.0737550329945291
"540","fructose",3,0.0719539892978649
"541","glucose",1,0.057583661473224
"542","glucose",2,0.0774439298824891
"543","glucose",3,0.0546600538950647
"544","sucrose",1,0.0692345832501478
"545","sucrose",2,0.0878670228173578
"546","sucrose",3,0.0837428471969075
"547","control",1,0.052650119430935
"548","control",2,0.0496518437162868
"549","control",3,0.0646658260250737
"550","Sigma Dahlia",1,0.0273633046661981
"551","Sigma Dahlia",2,0.0158939158078873
"552","Sigma Dahlia",3,0.0209254757372885
"553","NOW",1,0.0386650558059984
"554","NOW",2,0.0436931046544396
"555","NOW",3,0.0404345921157564
"556","Sigma Chicory",1,0.0337132261080385
"557","Sigma Chicory",2,0.0404462477731666
"558","Sigma Chicory",3,0.0292339483172777
"559","fructose",1,0.0768840746277509
"560","fructose",2,0.06780588113083
"561","fructose",3,0.0655500299561551
"562","glucose",1,0.0464127836058768
"563","glucose",2,0.0654068992203332
"564","glucose",3,0.0477752156106017
"565","sucrose",1,0.0626102173126303
"566","sucrose",2,0.0776857099801189
"567","sucrose",3,0.0719249286906819
"568","control",1,0.0446869701843407
"569","control",2,0.039537319813887
"570","control",3,0.0568323190626985
"571","Sigma Dahlia",1,0.0170175922884585
"572","Sigma Dahlia",2,0.010157660404662
"573","Sigma Dahlia",3,0.0161833316428406
"574","NOW",1,0.0306107879829454
"575","NOW",2,0.0374110507764445
"576","NOW",3,0.0343118275270792
"577","Sigma Chicory",1,0.0260934500986671
"578","Sigma Chicory",2,0.0331794594568364
"579","Sigma Chicory",3,0.0202466984866579
"580","fructose",1,0.0695607970673658
"581","fructose",2,0.0604956680179276
"582","fructose",3,0.0594529796485066
"583","glucose",1,0.0383905876165895
"584","glucose",2,0.0578565031247077
"585","glucose",3,0
"586","sucrose",1,0.0567254819285094
"587","sucrose",2,0.0664728484006041
"588","sucrose",3,0.0632592736685254
"589","control",1,0.0391485522313728
"590","control",2,0.0482433175742181
"591","control",3,0.054083338880934
"592","Sigma Dahlia",1,0.0180336004744858
"593","Sigma Dahlia",2,0.0107648231053246
"594","Sigma Dahlia",3,0.0104598494180114
"595","NOW",1,0.0231957719904318
"596","NOW",2,0.0328360124676829
"597","NOW",3,0.0304145953066854
"598","Sigma Chicory",1,0.0268619509280847
"599","Sigma Chicory",2,0.0332153315922388
"600","Sigma Chicory",3,0.0248969223961503
"601","fructose",1,0.0649281481620631
"602","fructose",2,0.053102321113804
"603","fructose",3,0.0516585091665942
"604","glucose",1,0.0477045264026042
"605","glucose",2,0.0545068329750959
"606","glucose",3,0
"607","sucrose",1,0.0492383041751923
"608","sucrose",2,0.0971548671760432
"609","sucrose",3,0.0598667449943481
"610","control",1,0.03978659137388
"611","control",2,0.042037507334006
"612","control",3,0.0528746540906538
"613","Sigma Dahlia",1,0.0169882061948956
"614","Sigma Dahlia",2,0.0108601852164833
"615","Sigma Dahlia",3,0.0108742123629689
"616","NOW",1,0.027279963352584
"617","NOW",2,0.0321683374223268
"618","NOW",3,0.0309713859650774
"619","Sigma Chicory",1,0.0224248410573398
"620","Sigma Chicory",2,0.0301548192415977
"621","Sigma Chicory",3,0.0231177319350143
"622","fructose",1,0.05976865915235
"623","fructose",2,0.0517184296006737
"624","fructose",3,0.0502581001888351
"625","glucose",1,0.0420687787037298
"626","glucose",2,0.0477900865078604
"627","glucose",3,0
"628","sucrose",1,0.0474592240278372
"629","sucrose",2,0.0910672141209218
"630","sucrose",3,0.0547425375729745
"631","control",1,0.0344108561202848
"632","control",2,0.0378679077729056
"633","control",3,0.0508643645566379
"634","Sigma Dahlia",1,0.0149028572628035
"635","Sigma Dahlia",2,0.0102886611537169
"636","Sigma Dahlia",3,0.0109714683983448
"637","NOW",1,0.025197693128352
"638","NOW",2,0.0302584936108645
"639","NOW",3,0.0282865970461393
"640","Sigma Chicory",1,0.0222166996506683
"641","Sigma Chicory",2,0.0269315331849433
"642","Sigma Chicory",3,0.020929073328496
"643","fructose",1,0.0614237209083631
"644","fructose",2,0.055292931380756
"645","fructose",3,0.0518238062871529
"646","glucose",1,0.0385812253583487
"647","glucose",2,0.0512234812358062
"648","glucose",3,0
"649","sucrose",1,0.0480803903141415
"650","sucrose",2,0.0832832669037437
"651","sucrose",3,0.0583278494527428
"652","control",1,0.0331230395408848
"653","control",2,0
"654","control",3,0.0450482718319789
