"cond","pre.treat","rep","DP","conc"
"Bc10","con",3,"DP 30",0.0281552695977177
"908","con",2,"DP 30",-0.00854499069612827
"908","in",3,"DP 30",-0.00854499069612827
"Bc10","con",1,"DP 30",0.12538945045314
"Bc50","in",3,"DP 30",0.019798692428537
"Bc10","in",3,"DP 30",0.189198905484917
"908","con",1,"DP 30",0.22514739005892
"908","in",1,"DP 30",0.0302812793905521
"Bc50","con",2,"DP 30",-0.000272504829539048
"Bc10","in",1,"DP 30",0.113792647105934
"Bc50","in",2,"DP 30",0.0120153445227632
"Bc10","in",2,"DP 30",0.132809416539908
"Bc50","in",1,"DP 30",0.00869801900834172
"908","con",3,"DP 30",0.141122209673002
"Bc50","con",1,"DP 30",-0.00854499069612827
"Bc50","con",3,"DP 30",-0.00854499069612827
"908","in",2,"DP 31",0.0407974694625319
"Bc10","con",2,"DP 31",0
"Bc10","con",3,"DP 31",0.0326124515463654
"908","con",2,"DP 31",0.0889161752662948
"908","in",3,"DP 31",0
"Bc10","con",1,"DP 31",0.135063119919104
"Bc50","in",3,"DP 31",0.0442916150841526
"Bc10","in",3,"DP 31",0.1834343626341
"908","con",1,"DP 31",0.230611405384515
"908","in",1,"DP 31",0.0427049230360198
"Bc50","con",2,"DP 31",0.0110039268093441
"Bc10","in",1,"DP 31",0.143826346578129
"Bc50","in",2,"DP 31",0.0407627372654768
"Bc10","in",2,"DP 31",0.161200369340174
"Bc50","in",1,"DP 31",0.0340847974622698
"908","con",3,"DP 31",0
"Bc50","con",1,"DP 31",0
"Bc50","con",3,"DP 31",0
"908","in",2,"DP 32",0.0331551048228238
"Bc10","con",2,"DP 32",0
"Bc10","con",3,"DP 32",0.0331293205498103
"908","con",2,"DP 32",0.0875261593419233
"908","in",3,"DP 32",0
"Bc10","con",1,"DP 32",0.107457261261808
"Bc50","in",3,"DP 32",0.0411249268073377
"Bc10","in",3,"DP 32",0.17571864320325
"908","con",1,"DP 32",0.194102634416364
"908","in",1,"DP 32",0.0414237775165547
"Bc50","con",2,"DP 32",0.0117389086774386
"Bc10","in",1,"DP 32",0.13646782196977
"Bc50","in",2,"DP 32",0.0403363832240457
"Bc10","in",2,"DP 32",0.152214796798882
"Bc50","in",1,"DP 32",0.0307349332814508
"908","con",3,"DP 32",0.146678439921612
"Bc50","con",1,"DP 32",0
