GeneFamily,D1H16V1,D1H16V2,D1H16V3,D1H16V4,D1H16V7,D1H16V8,D1H8V1,D1H8V2,D1H8V3,D1H8V4,D1H8V7,D1H8V8,D2H16V1,D2H16V2,D2H16V3,D2H16V4,D2H16V7,D2H16V8,D2H8V1,D2H8V2,D2H8V3,D2H8V4,D2H8V7,D2H8V8
KO:K01908,32,7,75,6,10,38,61,4,61,23,2,115,138,3,101,3,1,28,32,6,79,7,3,28
KO:K01910,307,126,333,407,132,161,332,182,265,1192,215,359,420,127,516,210,152,260,321,65,287,233,156,238
KO:K01911,1197,1180,1280,1301,799,1321,1803,1932,1154,2149,1313,1960,3478,1425,1296,984,763,1247,1344,880,999,884,800,1030
KO:K01912,2726,3978,2701,3071,4741,2900,3737,5052,1961,3766,3971,2618,5985,4484,3304,4024,4373,4206,3309,2616,2886,3206,3085,2340
KO:K01914,1307,1952,2137,1204,2366,1441,1554,2384,1398,1564,1921,1344,2596,1995,2319,1281,2064,1519,1370,1289,1731,1379,1371,1130
KO:K01915,8348,8338,58240,8427,9841,9677,8341,11538,33176,11099,8202,9543,12941,12333,28758,15743,8255,12009,7644,6196,40122,8501,6611,8572
KO:K01916,808,675,1265,828,603,744,884,1053,1242,1616,584,1366,1137,774,826,502,522,755,840,549,803,912,361,704
KO:K01917,12,2,16,1,0,7,11,4,9,4,0,17,33,3,16,1,0,5,10,2,18,1,0,1
KO:K01918,1133,1402,1445,1526,1374,1890,1233,1819,1039,1978,976,1373,1731,1271,1322,1193,1688,1910,1185,739,1221,1225,910,1090
KO:K01919,908,558,1420,838,378,567,753,936,1262,1666,608,1091,906,873,1089,446,347,579,606,347,1129,690,550,895
KO:K01920,81,41,514,31,4,97,78,27,399,61,2,258,138,168,253,18,0,78,54,53,343,15,2,104
KO:K01921,3553,3572,4534,3281,4069,2883,4126,4447,3211,4901,3377,3299,4635,3827,3861,3181,3466,3335,4121,2764,3477,4994,2765,2689
KO:K01922,2990,3094,3088,3158,3551,3015,2727,4351,2107,4071,3026,2520,4384,3356,3062,3669,3845,3408,3349,2143,2736,4262,2324,2265
KO:K01923,1345,2160,2136,1778,2161,2227,1524,2773,1741,2548,1532,1607,2607,2647,1910,2137,2661,2915,1755,1468,1886,2182,1485,1703
KO:K01924,3264,3482,7009,2878,2089,2938,3682,5059,3359,3617,2482,3716,4757,4706,4498,2905,2260,3302,2696,2677,4297,2747,1823,2895
KO:K01925,3612,4102,4171,2689,3386,2995,4336,4905,2950,4327,3015,3402,5600,4904,3839,3269,3495,3534,3635,3097,3426,3521,2359,2617
KO:K01926,2424,3042,3506,2215,3395,2558,2704,3982,2064,3282,2678,2095,3601,3914,2503,2303,3936,3176,2868,2179,2769,2707,2408,2257
